Time,Humditiy
2023-04-01-0:7,40.01
2023-04-01-0:22,41.96
2023-04-01-0:37,48.44
2023-04-01-0:52,49.33
2023-04-01-1:7,41.54
2023-04-01-1:22,51.54
2023-04-01-1:37,45.51
2023-04-01-1:53,51.99
2023-04-01-2:8,49.33
2023-04-01-2:23,50.07
2023-04-01-2:38,50.3
2023-04-01-2:53,46.38
2023-04-01-3:8,47.64
2023-04-01-3:23,51.06
2023-04-01-3:38,42.74
2023-04-01-3:53,48.1
2023-04-01-4:8,50.38
2023-04-01-4:23,43.01
2023-04-01-4:38,49.52
2023-04-01-4:53,46.17
2023-04-01-5:8,43.15
2023-04-01-5:23,44.13
2023-04-01-5:38,47.23
2023-04-01-5:53,43.71
2023-04-01-6:8,44.9
2023-04-01-6:23,44.6
2023-04-01-6:38,51.7
2023-04-01-6:53,51.82
2023-04-01-7:8,43.79
2023-04-01-7:24,49.09
2023-04-01-7:39,41.93
2023-04-01-7:54,48.52
2023-04-01-8:9,40.02
2023-04-01-8:24,50.66
2023-04-01-8:39,40.92
2023-04-01-8:54,41.3
2023-04-01-9:9,48.27
2023-04-01-9:24,46.1
2023-04-01-9:39,41.35
2023-04-01-9:54,49.01
2023-04-01-10:9,48.64
2023-04-01-10:24,47.12
2023-04-01-10:39,43.68
2023-04-01-10:54,49.99
2023-04-01-11:9,50.21
2023-04-01-11:24,50.92
2023-04-01-11:39,50.82
2023-04-01-11:55,51.64
2023-04-01-12:10,45.47
2023-04-01-12:25,48.74
2023-04-01-12:40,42.35
2023-04-01-12:55,50.2
2023-04-01-13:10,47.53
2023-04-01-13:25,40.71
2023-04-01-13:40,46.17
2023-04-01-13:55,45.52
2023-04-01-14:10,48.06
2023-04-01-14:25,50.64
2023-04-01-14:40,40.05
2023-04-01-14:55,48.88
2023-04-01-15:10,46.96
2023-04-01-15:25,48.98
2023-04-01-15:40,43.08
2023-04-01-15:55,48.85
2023-04-01-16:10,42.64
2023-04-01-16:25,49.11
2023-04-01-16:40,43.9
2023-04-01-16:55,42.23
2023-04-01-17:10,50.47
2023-04-01-17:25,43.28
2023-04-01-17:41,41.24
2023-04-01-17:56,42.29
2023-04-01-18:11,50.49
2023-04-01-18:26,48.32
2023-04-01-18:41,48.39
2023-04-01-18:56,47.16
2023-04-01-19:11,43.3
2023-04-01-19:26,45.51
2023-04-01-19:41,44.98
2023-04-01-19:56,40.77
2023-04-01-20:11,47.98
2023-04-01-20:26,41.02
2023-04-01-20:41,45.22
2023-04-01-20:56,51.29
2023-04-01-21:11,41.28
2023-04-01-21:27,42.2
2023-04-01-21:42,49.51
2023-04-01-21:57,40.86
2023-04-01-22:12,48.8
2023-04-01-22:27,45.81
2023-04-01-22:42,48.36
2023-04-01-22:57,46.96
2023-04-01-23:12,48.79
2023-04-01-23:27,42.89
2023-04-01-23:42,40.12
2023-04-01-23:57,50.1
2023-04-02-0:7,40.93
2023-04-02-0:22,51.44
2023-04-02-0:37,47.0
2023-04-02-0:52,41.3
2023-04-02-1:7,43.6
2023-04-02-1:22,47.15
2023-04-02-1:37,46.84
2023-04-02-1:53,48.2
2023-04-02-2:8,43.59
2023-04-02-2:23,44.99
2023-04-02-2:38,41.13
2023-04-02-2:53,43.21
2023-04-02-3:8,51.67
2023-04-02-3:23,47.35
2023-04-02-3:38,44.4
2023-04-02-3:53,46.05
2023-04-02-4:8,47.23
2023-04-02-4:23,51.66
2023-04-02-4:38,49.89
2023-04-02-4:53,47.84
2023-04-02-5:8,40.97
2023-04-02-5:23,43.7
