Time,Temperature
2022-10-01-0:7,32.58
2022-10-01-0:22,32.58
2022-10-01-0:37,32.52
2022-10-01-0:52,32.42
2022-10-01-1:7,32.59
2022-10-01-1:22,32.44
2022-10-01-1:37,32.59
2022-10-01-1:53,32.44
2022-10-01-2:8,32.59
2022-10-01-2:23,32.57
2022-10-01-2:38,32.54
2022-10-01-2:53,32.58
2022-10-01-3:8,32.43
2022-10-01-3:23,32.43
2022-10-01-3:38,32.42
2022-10-01-3:53,32.48
2022-10-01-4:8,32.48
2022-10-01-4:23,32.52
2022-10-01-4:38,32.48
2022-10-01-4:53,32.57
2022-10-01-5:8,32.58
2022-10-01-5:23,32.4
2022-10-01-5:38,32.55
2022-10-01-5:53,32.45
2022-10-01-6:8,32.53
2022-10-01-6:23,32.52
2022-10-01-6:38,32.55
2022-10-01-6:53,32.43
2022-10-01-7:8,32.53
2022-10-01-7:24,32.53
2022-10-01-7:39,32.57
2022-10-01-7:54,32.55
2022-10-01-8:9,32.59
2022-10-01-8:24,32.52
2022-10-01-8:39,32.6
2022-10-01-8:54,32.41
2022-10-01-9:9,32.59
2022-10-01-9:24,32.54
2022-10-01-9:39,32.5
2022-10-01-9:54,32.43
2022-10-01-10:9,32.48
2022-10-01-10:24,32.6
2022-10-01-10:39,32.47
2022-10-01-10:54,32.53
2022-10-01-11:9,32.42
2022-10-01-11:24,32.45
2022-10-01-11:39,32.45
2022-10-01-11:55,32.41
2022-10-01-12:10,32.5
2022-10-01-12:25,32.41
2022-10-01-12:40,32.58
2022-10-01-12:55,32.45
2022-10-01-13:10,32.58
2022-10-01-13:25,32.51
2022-10-01-13:40,32.44
2022-10-01-13:55,32.53
2022-10-01-14:10,32.56
2022-10-01-14:25,32.5
2022-10-01-14:40,32.59
2022-10-01-14:55,32.43
2022-10-01-15:10,32.48
2022-10-01-15:25,32.51
2022-10-01-15:40,32.51
2022-10-01-15:55,32.42
2022-10-01-16:10,32.54
2022-10-01-16:25,32.49
2022-10-01-16:40,32.56
2022-10-01-16:55,32.46
2022-10-01-17:10,32.58
2022-10-01-17:25,32.57
2022-10-01-17:41,32.44
2022-10-01-17:56,32.5
2022-10-01-18:11,32.49
2022-10-01-18:26,32.44
2022-10-01-18:41,32.44
2022-10-01-18:56,32.5
2022-10-01-19:11,32.45
2022-10-01-19:26,32.57
2022-10-01-19:41,32.54
2022-10-01-19:56,32.43
2022-10-01-20:11,32.57
2022-10-01-20:26,32.52
2022-10-01-20:41,32.59
2022-10-01-20:56,32.51
2022-10-01-21:11,32.54
2022-10-01-21:27,32.47
2022-10-01-21:42,32.46
2022-10-01-21:57,32.41
2022-10-01-22:12,32.52
2022-10-01-22:27,32.57
2022-10-01-22:42,32.51
2022-10-01-22:57,32.56
2022-10-01-23:12,32.44
2022-10-01-23:27,32.58
2022-10-01-23:42,32.46
2022-10-01-23:57,32.54
2022-10-02-0:7,32.57
2022-10-02-0:22,32.57
2022-10-02-0:37,32.43
2022-10-02-0:52,32.58
2022-10-02-1:7,32.57
2022-10-02-1:22,32.58
2022-10-02-1:37,32.45
2022-10-02-1:53,32.58
2022-10-02-2:8,32.52
2022-10-02-2:23,32.42
2022-10-02-2:38,32.6
2022-10-02-2:53,32.44
2022-10-02-3:8,32.57
2022-10-02-3:23,32.46
2022-10-02-3:38,32.43
2022-10-02-3:53,32.58
2022-10-02-4:8,32.47
2022-10-02-4:23,32.51
2022-10-02-4:38,32.4
2022-10-02-4:53,32.49
2022-10-02-5:8,32.58
2022-10-02-5:23,32.44
2022-10-02-5:38,32.53
2022-10-02-5:53,32.44
2022-10-02-6:8,32.52
2022-10-02-6:23,32.4
2022-10-02-6:38,32.42
2022-10-02-6:53,32.6
2022-10-02-7:8,32.44
2022-10-02-7:24,32.52
2022-10-02-7:39,32.43
2022-10-02-7:54,32.55
2022-10-02-8:9,32.41
2022-10-02-8:24,32.59
2022-10-02-8:39,32.48
2022-10-02-8:54,32.47
2022-10-02-9:9,32.46
2022-10-02-9:24,32.54
2022-10-02-9:39,32.5
2022-10-02-9:54,32.47
2022-10-02-10:9,32.51
2022-10-02-10:24,32.47
2022-10-02-10:39,32.41
2022-10-02-10:54,32.46
2022-10-02-11:9,32.47
2022-10-02-11:24,32.55
2022-10-02-11:39,32.53
2022-10-02-11:55,32.5
2022-10-02-12:10,32.41
2022-10-02-12:25,32.6
2022-10-02-12:40,32.47
2022-10-02-12:55,32.44
2022-10-02-13:10,32.46
2022-10-02-13:25,32.53
2022-10-02-13:40,32.47
2022-10-02-13:55,32.45
2022-10-02-14:10,32.58
2022-10-02-14:25,32.5
2022-10-02-14:40,32.56
2022-10-02-14:55,32.45
2022-10-02-15:10,32.47
2022-10-02-15:25,32.4
2022-10-02-15:40,32.54
2022-10-02-15:55,32.54
2022-10-02-16:10,32.42
2022-10-02-16:25,32.46
2022-10-02-16:40,32.47
2022-10-02-16:55,32.59
2022-10-02-17:10,32.52
2022-10-02-17:25,32.56
2022-10-02-17:41,32.5
2022-10-02-17:56,32.45
2022-10-02-18:11,32.48
2022-10-02-18:26,32.42
2022-10-02-18:41,32.44
2022-10-02-18:56,32.57
2022-10-02-19:11,32.59
2022-10-02-19:26,32.41
2022-10-02-19:41,32.45
2022-10-02-19:56,32.58
2022-10-02-20:11,32.44
2022-10-02-20:26,32.47
2022-10-02-20:41,32.54
2022-10-02-20:56,32.46
2022-10-02-21:11,32.55
2022-10-02-21:27,32.46
2022-10-02-21:42,32.41
2022-10-02-21:57,32.58
2022-10-02-22:12,32.46
2022-10-02-22:27,32.49
2022-10-02-22:42,32.58
2022-10-02-22:57,32.51
2022-10-02-23:12,32.42
2022-10-02-23:27,32.57
2022-10-02-23:42,32.59
2022-10-02-23:57,32.54
2022-10-03-0:7,32.48
2022-10-03-0:22,32.48
2022-10-03-0:37,32.52
2022-10-03-0:52,32.44
2022-10-03-1:7,32.52
