Time,Temperature
2023-04-01-0:7,22.57
2023-04-01-0:22,18.79
2023-04-01-0:37,24.26
2023-04-01-0:52,24.86
2023-04-01-1:7,21.65
2023-04-01-1:22,28.14
2023-04-01-1:37,21.9
2023-04-01-1:53,19.88
2023-04-01-2:8,20.76
2023-04-01-2:23,28.84
2023-04-01-2:38,27.13
2023-04-01-2:53,19.46
2023-04-01-3:8,27.66
2023-04-01-3:23,19.93
2023-04-01-3:38,15.98
2023-04-01-3:53,26.36
2023-04-01-4:8,24.01
2023-04-01-4:23,26.66
2023-04-01-4:38,28.12
2023-04-01-4:53,29.38
2023-04-01-5:8,26.16
2023-04-01-5:23,23.25
2023-04-01-5:38,21.06
2023-04-01-5:53,22.95
2023-04-01-6:8,28.17
2023-04-01-6:23,21.82
2023-04-01-6:38,15.95
2023-04-01-6:53,23.83
2023-04-01-7:8,16.83
2023-04-01-7:24,20.32
2023-04-01-7:39,23.99
2023-04-01-7:54,28.66
2023-04-01-8:9,18.33
2023-04-01-8:24,22.05
2023-04-01-8:39,17.81
2023-04-01-8:54,26.19
2023-04-01-9:9,18.91
2023-04-01-9:24,26.35
2023-04-01-9:39,25.54
2023-04-01-9:54,24.62
2023-04-01-10:9,28.82
2023-04-01-10:24,25.43
2023-04-01-10:39,18.74
2023-04-01-10:54,21.93
2023-04-01-11:9,20.95
2023-04-01-11:24,24.07
2023-04-01-11:39,18.63
2023-04-01-11:55,15.53
2023-04-01-12:10,29.7
2023-04-01-12:25,17.92
2023-04-01-12:40,20.09
2023-04-01-12:55,27.95
2023-04-01-13:10,28.72
2023-04-01-13:25,19.65
2023-04-01-13:40,22.74
2023-04-01-13:55,17.69
2023-04-01-14:10,25.1
2023-04-01-14:25,20.11
2023-04-01-14:40,29.47
2023-04-01-14:55,26.35
2023-04-01-15:10,24.28
2023-04-01-15:25,21.86
2023-04-01-15:40,27.19
2023-04-01-15:55,22.65
2023-04-01-16:10,18.39
2023-04-01-16:25,22.33
2023-04-01-16:40,26.24
2023-04-01-16:55,19.25
2023-04-01-17:10,17.82
2023-04-01-17:25,16.91
2023-04-01-17:41,16.16
2023-04-01-17:56,16.39
2023-04-01-18:11,26.51
2023-04-01-18:26,27.41
2023-04-01-18:41,22.23
2023-04-01-18:56,17.82
2023-04-01-19:11,25.62
2023-04-01-19:26,25.67
2023-04-01-19:41,21.96
2023-04-01-19:56,22.12
2023-04-01-20:11,28.65
2023-04-01-20:26,22.19
2023-04-01-20:41,15.17
2023-04-01-20:56,25.74
2023-04-01-21:11,19.53
2023-04-01-21:27,29.73
2023-04-01-21:42,17.58
2023-04-01-21:57,20.01
2023-04-01-22:12,16.84
2023-04-01-22:27,24.16
2023-04-01-22:42,16.92
2023-04-01-22:57,27.11
2023-04-01-23:12,19.93
2023-04-01-23:27,17.37
2023-04-01-23:42,21.04
2023-04-01-23:57,17.5
2023-04-02-0:7,29.86
2023-04-02-0:22,29.42
2023-04-02-0:37,21.79
2023-04-02-0:52,27.13
2023-04-02-1:7,19.54
2023-04-02-1:22,29.82
2023-04-02-1:37,17.77
2023-04-02-1:53,17.9
2023-04-02-2:8,25.24
2023-04-02-2:23,24.94
2023-04-02-2:38,18.39
2023-04-02-2:53,22.66
2023-04-02-3:8,19.7
2023-04-02-3:23,21.23
2023-04-02-3:38,28.66
2023-04-02-3:53,17.74
2023-04-02-4:8,24.21
2023-04-02-4:23,20.88
2023-04-02-4:38,25.6
2023-04-02-4:53,21.35
2023-04-02-5:8,18.89
2023-04-02-5:23,17.81
2023-04-02-5:38,18.7
2023-04-02-5:53,15.76
2023-04-02-6:8,19.15
2023-04-02-6:23,27.54
2023-04-02-6:38,23.93
2023-04-02-6:53,16.21
2023-04-02-7:8,29.39
2023-04-02-7:24,17.81
2023-04-02-7:39,24.56
2023-04-02-7:54,15.55
2023-04-02-8:9,23.92
2023-04-02-8:24,19.39
2023-04-02-8:39,21.13
2023-04-02-8:54,29.17
2023-04-02-9:9,16.54
2023-04-02-9:24,16.27
2023-04-02-9:39,29.77
2023-04-02-9:54,19.29
2023-04-02-10:9,16.42
2023-04-02-10:24,29.72
2023-04-02-10:39,29.36
2023-04-02-10:54,29.59
2023-04-02-11:9,18.81
2023-04-02-11:24,23.13
2023-04-02-11:39,23.32
2023-04-02-11:55,15.84
2023-04-02-12:10,27.08
2023-04-02-12:25,20.25
2023-04-02-12:40,24.12
2023-04-02-12:55,24.27
2023-04-02-13:10,25.13
2023-04-02-13:25,25.65
2023-04-02-13:40,25.67
2023-04-02-13:55,17.83
2023-04-02-14:10,26.94
2023-04-02-14:25,17.36
2023-04-02-14:40,21.24
2023-04-02-14:55,25.92
2023-04-02-15:10,23.72
2023-04-02-15:25,23.69
2023-04-02-15:40,23.76
