Time,Humditiy
2021-06-01-00:10,70.21
2021-06-01-00:25,79.91
2021-06-01-00:40,78.45
2021-06-01-00:55,61.16
2021-06-01-01:10,61.88
2021-06-01-01:25,70.7
2021-06-01-01:40,67.34
2021-06-01-01:55,61.08
2021-06-01-02:10,65.42
2021-06-01-02:25,73.7
2021-06-01-02:40,65.23
2021-06-01-02:55,78.4
2021-06-01-03:10,63.82
2021-06-01-03:25,76.56
2021-06-01-03:40,61.35
2021-06-01-03:55,70.65
2021-06-01-04:10,65.07
2021-06-01-04:25,65.76
2021-06-01-04:40,79.09
2021-06-01-04:55,65.99
2021-06-01-05:10,79.1
2021-06-01-05:25,68.43
2021-06-01-05:40,79.35
2021-06-01-05:55,76.52
2021-06-01-06:10,67.5
2021-06-01-06:25,65.46
2021-06-01-06:40,63.66
2021-06-01-06:55,73.75
2021-06-01-07:10,71.17
2021-06-01-07:25,75.65
2021-06-01-07:40,60.2
2021-06-01-07:55,76.07
2021-06-01-08:10,63.95
2021-06-01-08:25,77.87
2021-06-01-08:40,60.33
2021-06-01-08:55,62.35
2021-06-01-09:10,78.45
2021-06-01-09:25,75.49
2021-06-01-09:40,77.61
2021-06-01-09:55,66.73
2021-06-01-10:10,71.47
2021-06-01-10:25,77.23
2021-06-01-10:40,61.61
2021-06-01-10:55,73.35
2021-06-01-11:10,69.15
2021-06-01-11:25,72.41
2021-06-01-11:40,67.37
2021-06-01-11:55,69.29
2021-06-01-12:10,74.64
2021-06-01-12:25,78.83
2021-06-01-12:40,73.89
2021-06-01-12:55,72.4
2021-06-01-13:10,62.53
2021-06-01-13:25,64.34
2021-06-01-13:40,67.19
2021-06-01-13:55,74.82
2021-06-01-14:10,66.97
2021-06-01-14:25,66.95
2021-06-01-14:40,75.48
2021-06-01-14:55,77.5
2021-06-01-15:10,60.44
2021-06-01-15:25,60.98
2021-06-01-15:40,69.32
2021-06-01-15:55,74.64
2021-06-01-16:10,78.95
2021-06-01-16:25,69.02
2021-06-01-16:40,79.73
2021-06-01-16:55,66.83
2021-06-01-17:10,74.89
2021-06-01-17:25,68.28
2021-06-01-17:40,71.91
2021-06-01-17:55,66.37
2021-06-01-18:10,62.59
2021-06-01-18:25,69.52
2021-06-01-18:40,74.35
2021-06-01-18:55,60.48
2021-06-01-19:10,67.46
2021-06-01-19:25,66.54
2021-06-01-19:40,78.48
2021-06-01-19:55,74.65
2021-06-01-20:10,69.82
2021-06-01-20:25,76.72
2021-06-01-20:40,74.41
2021-06-01-20:55,61.99
2021-06-01-21:10,62.47
2021-06-01-21:25,62.81
2021-06-01-21:40,77.84
2021-06-01-21:55,62.08
2021-06-01-22:10,72.73
2021-06-01-22:25,68.54
2021-06-01-22:40,66.79
2021-06-01-22:55,60.49
