Time,Temperature
2021-06-01-00:10,21.87
2021-06-01-00:25,21.0
2021-06-01-00:40,18.03
2021-06-01-00:55,20.0
2021-06-01-01:10,19.0
2021-06-01-01:25,21.0
2021-06-01-01:40,18.03
2021-06-01-01:55,21.87
2021-06-01-02:10,20.0
2021-06-01-02:25,20.0
2021-06-01-02:40,18.03
2021-06-01-02:55,18.03
2021-06-01-03:10,21.0
2021-06-01-03:25,20.0
2021-06-01-03:40,20.0
2021-06-01-03:55,19.0
2021-06-01-04:10,21.87
2021-06-01-04:25,19.0
2021-06-01-04:40,21.87
2021-06-01-04:55,21.87
2021-06-01-05:10,18.03
2021-06-01-05:25,20.0
2021-06-01-05:40,21.87
2021-06-01-05:55,21.0
2021-06-01-06:10,19.0
2021-06-01-06:25,20.0
2021-06-01-06:40,21.87
2021-06-01-06:55,18.03
2021-06-01-07:10,19.0
2021-06-01-07:25,19.0
2021-06-01-07:40,21.87
2021-06-01-07:55,21.87
2021-06-01-08:10,19.0
2021-06-01-08:25,21.0
2021-06-01-08:40,21.0
2021-06-01-08:55,19.0
2021-06-01-09:10,19.0
2021-06-01-09:25,21.87
2021-06-01-09:40,18.03
2021-06-01-09:55,21.87
2021-06-01-10:10,20.0
2021-06-01-10:25,20.0
2021-06-01-10:40,19.0
2021-06-01-10:55,19.0
2021-06-01-11:10,19.0
2021-06-01-11:25,19.0
2021-06-01-11:40,21.87
2021-06-01-11:55,21.87
2021-06-01-12:10,20.0
2021-06-01-12:25,19.0
2021-06-01-12:40,20.0
2021-06-01-12:55,19.0
2021-06-01-13:10,21.87
2021-06-01-13:25,18.03
2021-06-01-13:40,21.0
2021-06-01-13:55,19.0
2021-06-01-14:10,18.03
2021-06-01-14:25,21.87
2021-06-01-14:40,19.0
2021-06-01-14:55,18.03
2021-06-01-15:10,21.0
2021-06-01-15:25,18.03
2021-06-01-15:40,21.0
2021-06-01-15:55,20.0
2021-06-01-16:10,19.0
2021-06-01-16:25,21.0
2021-06-01-16:40,18.03
2021-06-01-16:55,19.0
2021-06-01-17:10,21.0
2021-06-01-17:25,20.0
2021-06-01-17:40,18.03
2021-06-01-17:55,19.0
2021-06-01-18:10,20.0
2021-06-01-18:25,21.0
2021-06-01-18:40,21.0
2021-06-01-18:55,19.0
2021-06-01-19:10,20.0
2021-06-01-19:25,20.0
2021-06-01-19:40,18.03
2021-06-01-19:55,20.0
2021-06-01-20:10,21.87
2021-06-01-20:25,19.0
2021-06-01-20:40,20.0
2021-06-01-20:55,18.03
2021-06-01-21:10,21.0
2021-06-01-21:25,19.0
2021-06-01-21:40,18.03
2021-06-01-21:55,18.03
2021-06-01-22:10,20.0
2021-06-01-22:25,18.03
2021-06-01-22:40,18.03
2021-06-01-22:55,18.03
2021-06-01-23:10,19.0
2021-06-01-23:25,21.0
2021-06-01-23:40,20.0
2021-06-01-23:55,21.87
2021-06-02-00:10,21.87
2021-06-02-00:25,21.87
2021-06-02-00:40,19.0
2021-06-02-00:55,19.0
2021-06-02-01:10,21.87
2021-06-02-01:25,19.0
2021-06-02-01:40,21.87
2021-06-02-01:55,20.0
2021-06-02-02:10,21.87
2021-06-02-02:25,21.0
2021-06-02-02:40,20.0
2021-06-02-02:55,21.0
2021-06-02-03:10,19.0
2021-06-02-03:25,20.0
2021-06-02-03:40,20.0
2021-06-02-03:55,20.0
2021-06-02-04:10,21.0
2021-06-02-04:25,19.0
2021-06-02-04:40,21.0
2021-06-02-04:55,21.0
2021-06-02-05:10,21.0
2021-06-02-05:25,21.87
2021-06-02-05:40,21.87
2021-06-02-05:55,21.87
2021-06-02-06:10,18.03
2021-06-02-06:25,21.87
2021-06-02-06:40,21.87
2021-06-02-06:55,20.0
2021-06-02-07:10,21.87
2021-06-02-07:25,21.87
2021-06-02-07:40,19.0
2021-06-02-07:55,19.0
2021-06-02-08:10,19.0
2021-06-02-08:25,20.0
2021-06-02-08:40,19.0
2021-06-02-08:55,18.03
2021-06-02-09:10,21.0
2021-06-02-09:25,21.0
2021-06-02-09:40,19.0
2021-06-02-09:55,19.0
2021-06-02-10:10,19.0
2021-06-02-10:25,19.0
2021-06-02-10:40,21.87
2021-06-02-10:55,21.87
2021-06-02-11:10,21.0
2021-06-02-11:25,21.0
2021-06-02-11:40,21.0
2021-06-02-11:55,20.0
2021-06-02-12:10,21.87
2021-06-02-12:25,21.0
2021-06-02-12:40,21.0
2021-06-02-12:55,21.87
2021-06-02-13:10,21.0
2021-06-02-13:25,19.0
2021-06-02-13:40,20.0
2021-06-02-13:55,19.0
2021-06-02-14:10,21.0
2021-06-02-14:25,21.0
2021-06-02-14:40,20.0
2021-06-02-14:55,20.0
2021-06-02-15:10,20.0
2021-06-02-15:25,20.0
2021-06-02-15:40,20.0
2021-06-02-15:55,19.0
2021-06-02-16:10,18.03
2021-06-02-16:25,21.87
2021-06-02-16:40,21.87
2021-06-02-16:55,21.87
2021-06-02-17:10,21.87
2021-06-02-17:25,21.0
2021-06-02-17:40,21.0
2021-06-02-17:55,20.0
2021-06-02-18:10,20.0
2021-06-02-18:25,18.03
2021-06-02-18:40,20.0
