Time,Temperature
2022-10-01-0:7,22.47
2022-10-01-0:22,22.5
2022-10-01-0:37,22.51
2022-10-01-0:52,22.56
2022-10-01-1:7,22.57
2022-10-01-1:22,22.59
2022-10-01-1:37,22.5
2022-10-01-1:53,22.51
2022-10-01-2:8,22.59
2022-10-01-2:23,22.41
2022-10-01-2:38,22.52
2022-10-01-2:53,22.53
2022-10-01-3:8,22.56
2022-10-01-3:23,22.43
2022-10-01-3:38,22.43
2022-10-01-3:53,22.49
2022-10-01-4:8,22.47
2022-10-01-4:23,22.53
2022-10-01-4:38,22.49
2022-10-01-4:53,22.56
2022-10-01-5:8,22.54
2022-10-01-5:23,22.46
2022-10-01-5:38,22.48
2022-10-01-5:53,22.49
2022-10-01-6:8,22.42
2022-10-01-6:23,22.46
2022-10-01-6:38,22.42
2022-10-01-6:53,22.45
2022-10-01-7:8,22.53
2022-10-01-7:24,22.43
2022-10-01-7:39,22.44
2022-10-01-7:54,22.43
2022-10-01-8:9,22.54
2022-10-01-8:24,22.53
2022-10-01-8:39,22.55
2022-10-01-8:54,22.58
2022-10-01-9:9,22.54
2022-10-01-9:24,22.46
2022-10-01-9:39,22.43
2022-10-01-9:54,22.49
2022-10-01-10:9,22.41
2022-10-01-10:24,22.58
2022-10-01-10:39,22.43
2022-10-01-10:54,22.5
2022-10-01-11:9,22.6
2022-10-01-11:24,22.43
2022-10-01-11:39,22.46
2022-10-01-11:55,22.5
2022-10-01-12:10,22.48
2022-10-01-12:25,22.44
2022-10-01-12:40,22.42
2022-10-01-12:55,22.54
2022-10-01-13:10,22.42
2022-10-01-13:25,22.51
2022-10-01-13:40,22.57
2022-10-01-13:55,22.45
2022-10-01-14:10,22.5
2022-10-01-14:25,22.43
2022-10-01-14:40,22.53
2022-10-01-14:55,22.43
2022-10-01-15:10,22.51
2022-10-01-15:25,22.45
2022-10-01-15:40,22.46
2022-10-01-15:55,22.43
2022-10-01-16:10,22.51
2022-10-01-16:25,22.6
2022-10-01-16:40,22.41
2022-10-01-16:55,22.56
2022-10-01-17:10,22.54
2022-10-01-17:25,22.48
2022-10-01-17:41,22.43
2022-10-01-17:56,22.49
2022-10-01-18:11,22.5
2022-10-01-18:26,22.52
2022-10-01-18:41,22.41
2022-10-01-18:56,22.54
2022-10-01-19:11,22.43
2022-10-01-19:26,22.54
2022-10-01-19:41,22.42
2022-10-01-19:56,22.51
2022-10-01-20:11,22.41
2022-10-01-20:26,22.48
2022-10-01-20:41,22.51
2022-10-01-20:56,22.5
2022-10-01-21:11,22.52
2022-10-01-21:27,22.51
2022-10-01-21:42,22.42
2022-10-01-21:57,22.49
2022-10-01-22:12,22.45
2022-10-01-22:27,22.45
2022-10-01-22:42,22.48
2022-10-01-22:57,22.53
2022-10-01-23:12,22.45
2022-10-01-23:27,22.53
2022-10-01-23:42,22.55
2022-10-01-23:57,22.57
2022-10-02-0:7,22.46
2022-10-02-0:22,22.45
2022-10-02-0:37,22.57
2022-10-02-0:52,22.45
2022-10-02-1:7,22.5
2022-10-02-1:22,22.47
2022-10-02-1:37,22.51
2022-10-02-1:53,22.41
2022-10-02-2:8,22.54
2022-10-02-2:23,22.57
2022-10-02-2:38,22.56
2022-10-02-2:53,22.41
2022-10-02-3:8,22.49
2022-10-02-3:23,22.47
2022-10-02-3:38,22.58
2022-10-02-3:53,22.52
2022-10-02-4:8,22.58
2022-10-02-4:23,22.42
2022-10-02-4:38,22.56
2022-10-02-4:53,22.46
2022-10-02-5:8,22.56
2022-10-02-5:23,22.57
2022-10-02-5:38,22.54
2022-10-02-5:53,22.4
2022-10-02-6:8,22.44
2022-10-02-6:23,22.51
2022-10-02-6:38,22.44
2022-10-02-6:53,22.51
2022-10-02-7:8,22.45
2022-10-02-7:24,22.41
2022-10-02-7:39,22.57
2022-10-02-7:54,22.45
2022-10-02-8:9,22.43
2022-10-02-8:24,22.46
2022-10-02-8:39,22.46
2022-10-02-8:54,22.48
2022-10-02-9:9,22.43
2022-10-02-9:24,22.57
2022-10-02-9:39,22.53
2022-10-02-9:54,22.52
2022-10-02-10:9,22.57
2022-10-02-10:24,22.43
2022-10-02-10:39,22.57
2022-10-02-10:54,22.52
2022-10-02-11:9,22.42
2022-10-02-11:24,22.58
2022-10-02-11:39,22.53
2022-10-02-11:55,22.42
2022-10-02-12:10,22.45
2022-10-02-12:25,22.47
2022-10-02-12:40,22.48
2022-10-02-12:55,22.49
2022-10-02-13:10,22.41
2022-10-02-13:25,22.48
2022-10-02-13:40,22.48
2022-10-02-13:55,22.54
2022-10-02-14:10,22.42
2022-10-02-14:25,22.57
2022-10-02-14:40,22.42
2022-10-02-14:55,22.56
2022-10-02-15:10,22.48
2022-10-02-15:25,22.52
2022-10-02-15:40,22.51
2022-10-02-15:55,22.5
2022-10-02-16:10,22.53
2022-10-02-16:25,22.59
2022-10-02-16:40,22.57
2022-10-02-16:55,22.47
2022-10-02-17:10,22.55
2022-10-02-17:25,22.52
2022-10-02-17:41,22.42
2022-10-02-17:56,22.47
2022-10-02-18:11,22.44
2022-10-02-18:26,22.45
2022-10-02-18:41,22.55
2022-10-02-18:56,22.51
2022-10-02-19:11,22.51
2022-10-02-19:26,22.54
2022-10-02-19:41,22.56
2022-10-02-19:56,22.51
2022-10-02-20:11,22.56
2022-10-02-20:26,22.52
2022-10-02-20:41,22.4
2022-10-02-20:56,22.52
2022-10-02-21:11,22.43
2022-10-02-21:27,22.46
2022-10-02-21:42,22.48
2022-10-02-21:57,22.49
2022-10-02-22:12,22.55
2022-10-02-22:27,22.55
2022-10-02-22:42,22.52
2022-10-02-22:57,22.53
2022-10-02-23:12,22.59
2022-10-02-23:27,22.59
2022-10-02-23:42,22.47
2022-10-02-23:57,22.44
2022-10-03-0:7,22.42
2022-10-03-0:22,22.51
2022-10-03-0:37,22.49
2022-10-03-0:52,22.43
2022-10-03-1:7,22.57
2022-10-03-1:22,22.58
2022-10-03-1:37,22.57
2022-10-03-1:53,22.55
2022-10-03-2:8,22.5
2022-10-03-2:23,22.51
2022-10-03-2:38,22.46
2022-10-03-2:53,22.54
2022-10-03-3:8,22.58
2022-10-03-3:23,22.42
2022-10-03-3:38,22.44
2022-10-03-3:53,22.42
2022-10-03-4:8,22.54
2022-10-03-4:23,22.57
2022-10-03-4:38,22.42
2022-10-03-4:53,22.44
2022-10-03-5:8,22.49
2022-10-03-5:23,22.41
2022-10-03-5:38,22.43
2022-10-03-5:53,22.58
2022-10-03-6:8,22.56
2022-10-03-6:23,22.56
2022-10-03-6:38,22.54
2022-10-03-6:53,22.51
2022-10-03-7:8,22.46
2022-10-03-7:24,22.56
2022-10-03-7:39,22.41
2022-10-03-7:54,22.53
2022-10-03-8:9,22.57
2022-10-03-8:24,22.42
2022-10-03-8:39,22.52
2022-10-03-8:54,22.45
2022-10-03-9:9,22.42
2022-10-03-9:24,22.44
2022-10-03-9:39,22.42
2022-10-03-9:54,22.5
2022-10-03-10:9,22.59
2022-10-03-10:24,22.51
2022-10-03-10:39,22.55
2022-10-03-10:54,22.58
2022-10-03-11:9,22.49
2022-10-03-11:24,22.49
2022-10-03-11:39,22.42
2022-10-03-11:55,22.59
2022-10-03-12:10,22.41
2022-10-03-12:25,22.54
2022-10-03-12:40,22.47
2022-10-03-12:55,22.44
2022-10-03-13:10,22.55
2022-10-03-13:25,22.4
2022-10-03-13:40,22.55
2022-10-03-13:55,22.59
2022-10-03-14:10,22.59
2022-10-03-14:25,22.47
2022-10-03-14:40,22.57
2022-10-03-14:55,22.56
2022-10-03-15:10,22.59
2022-10-03-15:25,22.49
2022-10-03-15:40,22.41
2022-10-03-15:55,22.49
2022-10-03-16:10,22.47
2022-10-03-16:25,22.48
2022-10-03-16:40,22.45
2022-10-03-16:55,22.54
2022-10-03-17:10,22.54
2022-10-03-17:25,22.49
2022-10-03-17:41,22.51
2022-10-03-17:56,22.47
2022-10-03-18:11,22.46
2022-10-03-18:26,22.5
2022-10-03-18:41,22.47
2022-10-03-18:56,22.47
2022-10-03-19:11,22.53
2022-10-03-19:26,22.44
2022-10-03-19:41,22.5
2022-10-03-19:56,22.6
2022-10-03-20:11,22.45
2022-10-03-20:26,22.51
2022-10-03-20:41,22.5
2022-10-03-20:56,22.46
2022-10-03-21:11,22.54
2022-10-03-21:27,22.41
2022-10-03-21:42,22.53
2022-10-03-21:57,22.47
2022-10-03-22:12,22.58
2022-10-03-22:27,22.48
